Model,Target,Sources,N_sources,p,Feasible,SNPs_used,Levant_prop,Levant_se,Anatolia_prop,Anatolia_se,Iran_prop,Iran_se,Outgroup_set,Mesopotamia_prop,Mesopotamia_se,ZagrosMeso_prop,ZagrosMeso_se,Significant_props
3way_Levant_Israel_Anatolia_Catalhoyuk_ZagrosMeso_GanjDareh_Shanidar_out2,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.2759176324670573,True,380784,0.4934903590698207,0.08081838637994498,0.3956520282502445,0.08813637656068048,,,out2,,,0.1108576126799347,0.02802445359067922,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_ZagrosMeso_GanjDareh_Shanidar_out3,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.2756709904776363,True,482397,0.4954850397973505,0.1208637301085031,0.3711195391294355,0.09761800189980667,,,out3,,,0.133395421073214,0.04036887804732906,True
3way_Levant_JordanBaja_Anatolia_Barcin_Iran_HajjiFiruz_out3,Israel_C.AG,Levant + Anatolia + Iran,3,0.2734289176236941,True,702548,0.389691170002072,0.1099743166180242,0.4010715692463713,0.05153830360796615,0.2092372607515566,0.0890455759626883,out3,,,,,True
3way_Levant_Israel_Anatolia_Catalhoyuk_Iran_GanjDareh_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.2730065558123803,True,380756,0.4941621112548353,0.08115379796189723,0.3953556546326951,0.08854670747441065,0.1104822341124696,0.02796200090514689,out2,,,,,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Iran_ZagrosMerged_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.272258345415513,True,358346,0.439570145952663,0.0625801180915112,0.4128020427636801,0.06944692626825806,0.1476278112836569,0.02411562184141463,out2,,,,,True
3way_Levant_JordanMerged_Anatolia_Barcin_Iran_HajjiFiruz_out4,Israel_C.AG,Levant + Anatolia + Iran,3,0.2711944509722011,True,741634,0.356877597176537,0.08553384031717315,0.2779533232998438,0.06279080519723243,0.3651690795236192,0.04849347004297962,out4,,,,,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Iran_GanjDareh_out3,Israel_C.AG,Levant + Anatolia + Iran,3,0.2705987934592197,True,482349,0.4961259161946136,0.120871576143204,0.3715199034751056,0.09783543474486793,0.1323541803302809,0.04015166436646838,out3,,,,,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_ZagrosMeso_IranZagros_IraqMerged_out2,Israel_C.AG,Levant + Anatolia + ZagrosMeso,3,0.2661635055963635,True,358485,0.4389972163264181,0.06209849761154798,0.4085514462127431,0.06917389211078712,,,out2,,,0.1524513374608388,0.02468102602837605,True
3way_Levant_JordanBaja_Anatolia_Barcin_Iran_TepeAbdul_out5,Israel_C.AG,Levant + Anatolia + Iran,3,0.2660309327020525,True,522979,0.3863955112207554,0.02661216124479746,0.5052461307252769,0.03311229957462304,0.1083583580539677,0.0187170276487144,out5,,,,,True
3way_Levant_JordanMerged_Anatolia_Barcin_Iran_Wezmeh_out3,Israel_C.AG,Levant + Anatolia + Iran,3,0.2655136298014185,True,769360,0.297013814482502,0.1068207571594742,0.5001110991663593,0.08692677102828023,0.2028750863511387,0.02910924016063828,out3,,,,,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Iran_TepeAbdul_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.2649100639748549,True,340937,0.4432748185571025,0.06537501202812207,0.4175658461923235,0.07269008621082622,0.139159335250574,0.02414835506654315,out2,,,,,True
3way_Levant_Israel_Anatolia_Barcin_Iran_Wezmeh_out3,Israel_C.AG,Levant + Anatolia + Iran,3,0.2626476451733196,True,776792,0.2684419103518544,0.09837378301364333,0.5381943346143877,0.07479932312899806,0.1933637550337579,0.03396956817476596,out3,,,,,True
3way_Levant_Jordan_Anatolia_Catalhoyuk_Iran_Tepe_Wezmeh_out3,Israel_C.AG,Levant + Anatolia + Iran,3,0.2613540223724334,True,369499,0.5688381204786681,0.1511369263155895,0.2856980269712125,0.1351661654316519,0.1454638525501194,0.03138515216091397,out3,,,,,True
3way_Levant_JordanMerged_Anatolia_Catalhoyuk_Meso_Shanidar_out2,Israel_C.AG,Levant + Anatolia + Mesopotamia,3,0.2597229765864865,True,52228,0.434307381360129,0.09624614180447376,0.3952729919347217,0.1437496181575648,,,out2,0.1704196267051494,0.07355507226226776,,,True
3way_Levant_JordanBaja_Anatolia_Barcin_Iran_TepeAbdul_out2,Israel_C.AG,Levant + Anatolia + Iran,3,0.258538075229826,True,529699,0.3869672564545735,0.02742188027506263,0.5031648813071571,0.03426250778396252,0.1098678622382693,0.01876820337448118,out2,,,,,True
3way_Levant_JordanBaja_Anatolia_Barcin_Iran_GanjDareh_out5,Israel_C.AG,Levant + Anatolia + Iran,3,0.2564162818650761,True,540183,0.3827566600401512,0.02591587017686903,0.4999311605177055,0.03322247313706336,0.1173121794421434,0.01931747155904142,out5,,,,,True
